k,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,44.670922377934204,0.4335299064169025,0.8280987964478358,15.615723790205122
3,29.7928655283846,0.39235285138573595,0.8393166814487479,16.691193356812104
4,17.831642785194404,0.4108160337243869,0.7254369581369122,22.442043356538473
5,14.14578762665039,0.3989907755544824,0.7587754780050079,21.509658556834772
6,12.240196181517799,0.2919949727012638,0.9015221997958621,19.48394053277826
7,9.503826665574476,0.34611328801433056,0.8272766960448718,20.674674204130117
8,7.318928096565501,0.34141258062414687,0.7485697920489437,22.45797681178223
9,5.948921038794161,0.363880328926492,0.7266893201901335,23.214656409425938
10,4.2871186462562765,0.37362726879235963,0.6256380744066052,27.4904456771114
