k,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,39.83201477596419,0.41494550636756783,0.9573036156327874,20.306872868527748
3,25.952090389396613,0.39981552622523175,0.7610010812076958,20.789346739369954
4,15.719222166692225,0.4091856613349328,0.7540837793145754,26.39859914394701
5,12.303114220092377,0.4092628333714173,0.7109394583750132,25.480087666550517
6,9.466818664297191,0.4285775362487101,0.6536193292269746,26.305150431880392
7,7.587949074961212,0.425423404373903,0.5867727175428461,26.652281239268866
8,5.818956338057589,0.3778593856493637,0.6343327623550263,28.873065250087297
9,3.9748154900244206,0.3735024815110308,0.5010147487124702,35.73760074560805
10,3.048270305939889,0.3531634379774241,0.5242365725539452,39.340195407350784
