k,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,38.33845343299523,0.46306860655008514,0.8415568222781261,21.993990250932058
3,26.97294875143994,0.3568825051842424,0.8973653245535189,19.58619981087376
4,20.512990453760963,0.3790578557800211,0.8761871401548813,18.593537967241808
5,14.675458105278858,0.3817635198460284,0.7112320311860717,20.552865015171825
6,9.06651501749854,0.41721301186816623,0.5301979086889171,27.634349300689937
7,6.058199036120794,0.4224917510714694,0.5052030763985503,34.13975038761236
8,3.646905762017601,0.45145851204995585,0.41397997253004193,47.51592097917564
9,2.58102388305235,0.4408231801768142,0.36144408294798935,56.11647113571386
10,2.096507978221492,0.41298843466471785,0.33977766771434414,57.95628793140736
